DEMOGRAPHIC,ACTIVITY,12 AM,1 AM,2 AM,3 AM,4 AM,5 AM,6 AM,7 AM,8 AM,9 AM,10 AM,11 AM,12 PM,1 PM,2 PM,3 PM,4 PM,5 PM,6 PM,7 PM,8 PM,9 PM,10 PM,11 PM
everyone,Sleeping,82.5,90.2,93.5,94.7,91.7,85.3,65.4,41.4,24.1,13.5,7.6,4.9,3.6,4.2,4.3,4.1,3.7,3,2.6,2.8,5,14.2,36.7,64.8
everyone,Eating and drinking,0.7,0.4,0.3,0.3,0.5,1.3,3.7,6.4,7.1,6.5,5.2,6.1,18,11.3,6,4.3,4.5,9.1,15.6,13.9,9.2,4.6,2.4,1.2
everyone,Household activities,0.8,0.5,0.4,0.3,0.8,1.8,4.3,7.8,10.9,13.4,14.1,13.6,12.4,11.8,11.7,11.6,12.9,14.6,13.9,10.9,7.5,5.2,3.4,1.7
everyone,Shopping,0.2,0.1,0.1,0,0.1,0.1,0.4,0.9,2,4.1,6,7.1,7.8,7.8,7.8,7.6,7.3,6.8,5.6,4.4,3.1,2.1,1,0.5
everyone,Family care,0.4,0.3,0.3,0.3,0.5,0.4,1.7,3.8,3.8,2.6,2.4,2.3,2.1,2.2,2.5,3.7,4.1,4.2,3.8,4.3,4.7,3.7,1.8,0.7
everyone,Working,2.5,1.9,1.5,1.5,2.3,3.8,8,16.8,26.4,30.4,31.6,32,24.5,29,31.2,30.2,26.8,19.9,12.7,9,7.1,6.1,4.8,3.6
everyone,Education,0.4,0.2,0.1,0.1,0,0,0.2,1.1,3.3,4.3,4.6,4.4,3.6,4,4,3,2,1.8,1.6,1.8,1.7,1.5,1,0.6
everyone,Religious activities,0.1,0,0,0,0.1,0.1,0.3,0.3,0.6,1,1.7,2.1,1.4,0.7,0.4,0.3,0.3,0.5,0.6,1,1,0.5,0.2,0.1
everyone,Socializing,1.4,0.8,0.4,0.2,0.1,0.1,0.3,0.6,0.9,1.4,2.1,2.5,3.1,3.7,4.2,4.9,5.4,5.7,6.2,6.6,6.5,5.4,4.1,2.4
everyone,Watching television,4.9,2.4,1.2,0.7,0.7,1.1,1.7,2.9,3.9,5,6.1,7,7.3,8.8,9.7,10.7,12.3,14.1,17.6,24.4,32.6,34.9,26.2,13
everyone,Sports and recreation,0.1,0.1,0.1,0,0.1,0.3,1,1.1,1.5,1.6,1.8,1.9,1.7,1.8,1.8,2,2.2,2.3,2.1,2.2,1.7,1.1,0.5,0.3
everyone,Correspondence,0.5,0.3,0.2,0.1,0.1,0.1,0.2,0.3,0.6,0.8,0.9,1,0.9,0.9,1,1.2,1.3,1.2,1.3,1.5,1.8,1.9,1.6,1
men,Sleeping,81.4,89.1,92.6,93.9,90,82.6,62.1,40.2,24.2,14.6,8.8,5.8,4.2,4.6,4.4,4.1,3.8,3.3,3,3.2,5.7,15.4,37.1,64.1
men,Eating and drinking,0.8,0.5,0.4,0.3,0.6,1.6,4.6,7.1,7.3,6.5,5.4,6.5,20.4,11.3,6,4.2,4.5,9.2,15.4,14.1,9.7,4.9,2.7,1.5
men,Household activities,0.7,0.4,0.3,0.3,0.8,1.4,3.2,5.1,7.4,9.4,10.5,10.3,9.2,9.1,9.2,9.3,10,11,10.2,8.2,5.6,3.6,2.7,1.3
men,Shopping,0.3,0.1,0.1,0,0.1,0.2,0.6,0.9,1.8,3.7,5,5.6,6.2,5.9,5.7,5.4,5.5,5.4,4.8,3.9,2.8,2,0.9,0.6
men,Family care,0.3,0.1,0.1,0.2,0.2,0.3,1.1,2.1,2.2,1.6,1.5,1.4,1.3,1.4,1.6,2.2,2.6,2.9,2.8,3.2,3.3,2.4,1.1,0.4
men,Working,2.8,2.4,1.9,2,2.7,4,8.1,17.5,28.1,33.4,35.1,35.4,24.6,31.8,34.2,32.5,27.1,18.1,11.3,8.6,7.3,6.2,5.1,3.9
men,Education,0.3,0.2,0,0,0,0,0.2,1.2,3.2,4.3,4.5,4.3,3.5,3.8,3.9,2.8,1.8,1.5,1.4,1.6,1.4,1.3,0.8,0.5
men,Religious activities,0.1,0,0,0,0.1,0.1,0.2,0.3,0.5,0.9,1.5,1.7,1.1,0.5,0.3,0.2,0.2,0.4,0.6,0.8,0.8,0.5,0.1,0.1
men,Socializing,1.4,0.9,0.5,0.3,0.1,0.1,0.3,0.7,1,1.4,2,2.3,2.9,3.2,3.5,4.1,4.6,5,5.8,6.1,6,5.2,4,2.3
men,Watching television,5.6,2.7,1.4,0.8,0.9,1.3,2,3.3,4.4,5.7,6.7,7.7,8.1,10,11.2,12.4,14.1,16.3,19.9,26.9,34.7,36.6,27.2,13.8
men,Sports and recreation,0.2,0.1,0.1,0,0.1,0.4,1.1,1.4,1.8,1.9,2.3,2.5,2.5,2.4,2.6,2.8,3.2,3.2,2.9,2.8,2.2,1.4,0.7,0.4
men,Correspondence,0.3,0.2,0.1,0.1,0,0.1,0.2,0.3,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.8,1.2,1.1,1.4,1.3,0.7
women,Sleeping,83.5,91.1,94.3,95.5,93.3,87.8,68.4,42.6,24,12.4,6.5,4,3.1,3.8,4.1,4.1,3.6,2.7,2.3,2.4,4.3,13.2,36.3,65.5
women,Eating and drinking,0.6,0.4,0.2,0.3,0.3,0.9,2.9,5.8,6.9,6.5,5.1,5.9,15.7,11.4,6.1,4.4,4.5,8.9,15.8,13.7,8.7,4.4,2.2,1
women,Household activities,1,0.6,0.4,0.3,0.9,2.1,5.4,10.2,14.1,17.2,17.6,16.7,15.5,14.4,14,13.8,15.5,18.1,17.3,13.3,9.3,6.6,4.1,2
women,Shopping,0.2,0.1,0.1,0,0.1,0.1,0.3,0.8,2.2,4.5,7,8.6,9.3,9.6,9.8,9.5,9,8.3,6.4,4.9,3.4,2.1,1.1,0.4
women,Family care,0.6,0.4,0.5,0.4,0.7,0.6,2.3,5.4,5.3,3.5,3.3,3.1,2.9,2.9,3.3,5,5.6,5.5,4.7,5.4,6.1,4.9,2.4,1
women,Working,1.4,1.1,0.8,0.8,1.3,1.7,3.4,7.9,17.1,23.7,25.4,26.3,20.9,22.9,24.7,23,19.5,12.2,8.1,6.2,5,4.1,3,2.2
women,Education,0.5,0.2,0.1,0.1,0,0.1,0.2,1.1,3.3,4.4,4.7,4.4,3.7,4.2,4.2,3.2,2.2,2,1.7,2.1,1.9,1.6,1.1,0.6
women,Religious activities,0.1,0.1,0,0,0.1,0.2,0.3,0.4,0.6,1.1,2,2.5,1.6,0.8,0.5,0.4,0.3,0.5,0.7,1.2,1.2,0.6,0.3,0.2
women,Socializing,1.4,0.8,0.3,0.2,0,0.1,0.2,0.5,0.8,1.4,2.3,2.7,3.2,4.1,4.8,5.5,6.1,6.3,6.7,7.1,6.9,5.7,4.1,2.4
women,Watching television,4.3,2.1,1.1,0.7,0.6,0.8,1.4,2.6,3.5,4.3,5.5,6.3,6.5,7.7,8.4,9.1,10.7,12.1,15.4,22.1,30.6,33.3,25.3,12.3
women,Sports and recreation,0.1,0.1,0.1,0,0,0.2,0.8,0.9,1.1,1.3,1.4,1.4,1,1.2,1,1.3,1.3,1.5,1.4,1.6,1.2,0.7,0.3,0.2
women,Correspondence,0.6,0.3,0.2,0.1,0.1,0.1,0.2,0.4,0.8,1.1,1.3,1.3,1.2,1.2,1.4,1.7,1.8,1.5,1.7,1.9,2.4,2.3,1.9,1.2
15to19,Sleeping,75.6,87.5,93.5,96.6,96.3,95.2,78.8,57.3,44,30.9,18.8,10.8,5.5,4.1,3.4,4.2,5.1,5,3.9,3.6,5.1,11.7,31.9,57.1
15to19,Eating and drinking,0.9,0.4,0.3,0.1,0.3,0.3,2.2,4.9,3.5,4.5,6,8.1,15.3,10.1,4.9,4.9,5.2,7.6,11.6,10.7,9,4.5,2.8,1.6
15to19,Household activities,0.7,0.5,0.5,0.1,0.1,0.4,0.6,1.8,2.1,3.2,4.1,5.5,5.8,5.9,5.4,5.1,6.1,6,5.7,4.8,3.1,2.8,1.9,1.2
15to19,Shopping,0.4,0.1,0.1,0.1,0,0,0.1,0.3,0.7,1.2,2.2,3.6,5.1,5.4,6.3,6.1,6,5.3,4.6,4.1,3.1,2.7,1.4,0.8
15to19,Family care,0.1,0,0.1,0,0.1,0.1,0.2,0.5,0.7,0.6,0.8,0.7,0.6,0.7,1,1.4,1.5,0.9,1.1,0.8,1,0.7,0.9,0.4
15to19,Working,0.5,0.2,0.2,0.2,0.3,0.5,1.1,2.5,3.9,5.4,7,7.9,7.6,8.5,9.2,8.8,10,9.7,8.8,7.6,6,4.2,2.4,1
15to19,Education,0.8,0.5,0.2,0.1,0.1,0.2,1,10,29,35.1,35.5,33.3,27.6,31.5,31.8,20.8,10.7,8.9,7.1,7.9,7.2,5.9,3.4,1.4
15to19,Religious activities,0,0,0,0,0,0,0,0.1,0.2,1,1.8,2.1,1.2,0.6,0.4,0.3,0.2,0.5,0.6,1,0.9,0.3,0.2,0
15to19,Socializing,3,1.6,0.9,0.3,0.2,0.2,0.2,1.8,1.3,0.9,1.7,1.9,3.1,3.2,4.2,5.7,6.3,7,7.5,7.9,8.5,8.2,7.1,4.6
15to19,Watching television,6,2.8,1.3,0.8,0.9,0.4,0.7,1.5,1.5,3,4.3,6,7.4,9.1,10.3,10.5,13.3,14.5,15.8,18.9,22.9,23.9,18.1,11.2
15to19,Sports and recreation,0.2,0.2,0.2,0,0,0.1,0.5,0.8,1.3,1.7,2.3,2.6,2.8,3.3,3.9,6.7,8.8,8.3,6.3,4.9,3.8,2.2,1.4,0.9
15to19,Correspondence,2.4,1.2,0.6,0.5,0.1,0.1,0.2,0.2,0.3,0.7,0.5,0.8,0.7,0.7,0.8,1.6,1.5,1.8,1.8,2.4,3,4.3,4.9,3.9
18plus,Sleeping,82.7,90.1,93.4,94.5,91.4,84.6,64.7,40.9,23.2,12.6,7,4.6,3.5,4.2,4.3,4.1,3.6,2.9,2.5,2.7,5,14.3,36.7,65.1
18plus,Eating and drinking,0.7,0.4,0.3,0.3,0.5,1.3,3.8,6.5,7.3,6.6,5.2,6,18.1,11.5,6.2,4.2,4.4,9.1,15.9,14.1,9.2,4.6,2.4,1.2
18plus,Household activities,0.9,0.5,0.4,0.3,0.9,1.8,4.6,8.1,11.4,14.1,14.8,14.2,12.9,12.3,12.1,12,13.3,15.3,14.4,11.3,7.8,5.3,3.5,1.7
18plus,Shopping,0.2,0.1,0.1,0,0.1,0.2,0.4,0.9,2.1,4.3,6.3,7.4,8.1,8,8,7.7,7.4,7,5.7,4.4,3.1,2,0.9,0.5
18plus,Family care,0.5,0.3,0.3,0.3,0.5,0.5,1.8,4,4,2.7,2.5,2.4,2.2,2.3,2.6,3.8,4.3,4.4,4,4.5,5,3.9,1.9,0.7
18plus,Working,2.2,1.8,1.5,1.5,2.1,3,6,13.3,23.7,30,31.8,32.4,23.9,28.7,30.8,29,24.3,15.6,9.9,7.4,6.2,5.3,4.2,3.2
18plus,Education,0.4,0.2,0.1,0,0,0,0.1,0.3,1.1,1.8,2.2,2.1,1.7,1.8,1.8,1.7,1.4,1.3,1.2,1.4,1.3,1.1,0.8,0.5
18plus,Religious activities,0.1,0,0,0,0.1,0.1,0.3,0.4,0.6,1,1.7,2.1,1.4,0.7,0.4,0.3,0.3,0.5,0.6,1,1,0.6,0.2,0.1
18plus,Socializing,1.3,0.8,0.4,0.2,0.1,0.1,0.3,0.5,0.8,1.4,2.2,2.6,3.1,3.7,4.2,4.8,5.3,5.6,6.2,6.6,6.4,5.3,3.9,2.3
18plus,Watching television,4.9,2.4,1.2,0.8,0.7,1.1,1.7,3,4.1,5.1,6.2,7.1,7.3,8.8,9.8,10.7,12.2,14.1,17.6,24.8,33.1,35.6,26.8,13.2
18plus,Sports and recreation,0.1,0.1,0.1,0,0.1,0.3,1,1.2,1.5,1.6,1.8,1.8,1.6,1.6,1.6,1.6,1.7,1.8,1.8,1.9,1.5,1,0.5,0.3
18plus,Correspondence,0.4,0.2,0.1,0.1,0.1,0.1,0.2,0.3,0.6,0.8,0.9,1,0.9,0.9,1,1.2,1.2,1.1,1.2,1.5,1.7,1.7,1.4,0.8
75plus,Sleeping,91.5,95.5,97.2,96.8,94,89.5,73.3,46.2,22.1,7.8,3.5,2.5,3.1,7,7.6,6.8,4.3,2.8,1.9,2.4,6.3,17.1,41.8,73.9
75plus,Eating and drinking,0.1,0.1,0,0.1,0.6,1.6,4.9,11.7,13.9,11.1,6.2,6.7,23,12.9,6.5,3.9,5.8,16.3,23.4,12.5,4.6,2.3,0.9,0.3
75plus,Household activities,0.5,0.2,0.3,0.2,0.9,2.1,5.8,11.6,18.5,24.1,24,22.9,19.1,16.5,16.6,16.2,17.7,18.3,13.9,8.2,5.3,3.3,2.3,0.9
75plus,Shopping,0,0,0,0,0,0.1,0.2,0.8,2.2,5.7,9.8,10.3,9.5,10.1,9.8,7.7,5.2,3.4,1.9,0.7,0.6,0.2,0.1,0
75plus,Family care,0.2,0.2,0.2,0.2,0.1,0,0.2,0.4,0.7,0.6,0.6,0.6,0.5,0.5,0.4,0.5,0.4,0.3,0.3,0.4,0.3,0.5,0.4,0.2
75plus,Working,0,0,0,0,0.1,0.1,0.4,1.1,1.5,2.5,2.5,2.8,2.5,2,2.5,2.7,2,1.4,0.8,0.5,0.6,0.3,0.2,0.2
75plus,Education,0,0,0,0,0,0,0,0,0.1,0.3,0.4,0.5,0.1,0,0.1,0.2,0.1,0.1,0,0.2,0.2,0.1,0,0
75plus,Religious activities,0.2,0,0,0,0.3,0.2,0.5,1,1.4,2.1,3.2,3.4,1.9,0.7,0.6,0.4,0.7,0.9,1.1,1.8,1.4,1,0.4,0.2
75plus,Socializing,0.1,0,0,0,0,0.1,0.2,0.4,1.2,2.1,3,4.2,4.4,5,6.5,6.9,7.5,5.7,5.2,5,4.1,2.8,1.1,0.4
75plus,Watching television,3.6,1.4,0.6,0.7,0.8,1.3,2.6,4.5,7.4,9.5,12.2,13.7,12.3,16.6,18.1,20.7,22.8,24.4,30.6,44.7,51.5,48.2,33.9,13.9
75plus,Sports and recreation,0,0,0,0,0,0.1,0.9,1.4,1.6,1.9,2.1,2.1,1,1.4,1.4,1.5,1.2,0.8,0.7,0.6,0.6,0.5,0.2,0
75plus,Correspondence,0.1,0,0,0,0,0.1,0.3,0.6,1.2,1.6,2.3,2.6,1.6,2.1,2.9,3.3,2.6,2.1,2,2.6,2.4,2.3,1.3,0.3
kids,Sleeping,83.7,90.8,93.6,94.9,91.4,84.8,62.4,37.7,21.3,11.9,6.6,4.1,3.1,3.5,3.6,3.4,3.2,2.5,2.2,2.3,4.5,14.3,38.4,67
kids,Eating and drinking,0.7,0.4,0.4,0.4,0.3,0.9,2.8,4.9,5.8,5.6,4.9,6,17.2,10.8,5.7,4.1,4.3,7.9,15.4,13.9,8.9,4.4,2.4,1.2
kids,Household activities,0.9,0.4,0.3,0.3,0.7,1.6,4.4,8.1,11,13.9,14.7,13.9,13,12.2,12.1,11.5,12.5,15.3,15.2,12,8.4,6,3.7,1.8
kids,Shopping,0.2,0.1,0.1,0,0.1,0.1,0.4,0.8,1.9,3.8,5.4,6.9,7.8,7.5,7.4,7.3,7.5,7.5,6.2,4.9,3.7,2.2,1.2,0.6
kids,Family care,1.1,0.6,0.7,0.7,1.2,1,4.4,10,9.8,6.5,5.9,5.6,5.3,5.4,6.1,9.3,10.7,10.7,10,11.4,12.7,9.9,4.5,1.7
kids,Working,2.5,1.9,1.5,1.5,2.3,3.3,6.8,15.1,26.5,33.8,35.7,36.1,26.7,32.5,34.4,32,26.6,17.2,10.4,8,6.9,6,4.9,3.7
kids,Education,0.3,0.2,0.1,0,0,0,0.1,0.3,1.3,2.1,2.3,2.3,1.8,2,1.8,1.5,1.3,1.3,1.1,1.3,1.3,1.2,0.8,0.5
kids,Religious activities,0.1,0.1,0,0,0.1,0.1,0.2,0.2,0.4,0.8,1.7,2.1,1.4,0.7,0.4,0.3,0.2,0.4,0.6,0.9,0.9,0.5,0.3,0.2
kids,Socializing,1.1,0.6,0.3,0.2,0.1,0.2,0.2,0.4,0.8,1.2,1.8,2.2,2.8,3.5,4.1,4.6,5.2,5.7,6.4,7,6.8,5.7,4.3,2.4
kids,Watching television,4,1.7,0.9,0.5,0.4,0.7,1.3,2.4,3.3,4.2,5,5.8,6,7.2,7.7,8.2,9.2,10.6,12.9,19.1,27.2,30.6,23.3,10.9
kids,Sports and recreation,0.1,0.1,0,0,0.1,0.4,0.9,0.8,1.2,1.3,1.4,1.5,1.5,1.6,1.6,1.6,1.7,1.8,1.8,2,1.6,1,0.4,0.3
kids,Correspondence,0.3,0.2,0.2,0.1,0,0.1,0.1,0.2,0.5,0.6,0.7,0.7,0.7,0.6,0.7,0.8,0.8,0.8,0.7,0.8,1.1,1.3,1.2,0.8
under3,Sleeping,83,90,92.4,94,89.8,85.4,65.9,40,21.4,10.6,5.4,3.6,2.7,3.6,4.1,3.4,3.2,2.1,1.8,1.9,4.1,14.4,38.5,66.8
under3,Eating and drinking,0.5,0.2,0.4,0.3,0.2,0.8,1.8,4.5,6.2,5.6,4.8,5.6,18.1,10.3,5.8,4.1,4.5,7.5,16.3,14.4,9.4,4.1,2.2,1.2
under3,Household activities,1.1,0.5,0.4,0.2,0.5,1.2,4,7.3,10.7,14.1,14.4,14.1,13.6,12.5,12,11.3,11.8,14.9,15.7,11.7,8,6.1,3.4,1.8
under3,Shopping,0.3,0.2,0,0,0.1,0.2,0.4,0.8,1.7,3.6,5.4,7.3,7.5,7,7.3,7.4,7.7,7.8,6.3,4.8,3.2,2.3,1.3,0.5
under3,Family care,2.4,1.6,2,2.1,3.7,2.4,6.5,13.3,15.7,13,12.7,11.1,10.2,10.1,9.8,13.2,14.8,15.2,14.4,18.2,20.7,15.4,7.3,2.9
under3,Working,2.8,2,1.5,1.3,2.1,2.8,5.7,13.3,23.4,29.9,32.8,33.2,23.7,30.4,32.6,30.2,25.3,16.3,9.5,7.4,6.6,6.3,5.5,4.3
under3,Education,0.2,0.2,0.1,0,0,0,0.1,0.2,0.9,1.5,1.7,1.5,1.2,1.4,1.1,1.2,1,1,1,1.1,1.3,1.1,0.8,0.6
under3,Religious activities,0.1,0,0,0,0.1,0.1,0.2,0.2,0.4,0.7,1.3,1.8,1.2,0.7,0.4,0.3,0.3,0.4,0.5,0.8,0.7,0.4,0.4,0.3
under3,Socializing,1,0.5,0.2,0.2,0,0.1,0.1,0.3,0.7,1.2,2,2.3,2.9,3.9,5,5.2,6,6.4,6.8,7.5,7.4,5.8,4.1,2.4
under3,Watching television,3.3,1.7,1.1,0.6,0.4,0.6,1.1,2.4,3.3,4.6,5.3,6.1,6.2,7.6,7.5,8.6,9.1,10.6,12,17.3,23.9,28.8,21.5,10.1
under3,Sports and recreation,0.1,0.1,0,0,0,0.3,0.7,0.5,0.6,0.9,1,1.1,1,1,1.1,1.1,1.2,1.6,1.5,1.5,1.2,0.7,0.4,0.2
under3,Correspondence,0.2,0.1,0.2,0.2,0.1,0,0.1,0.2,0.4,0.6,0.7,0.7,0.5,0.5,0.7,0.9,0.9,0.6,0.5,0.6,0.7,0.9,1.2,0.6
nokids,Sleeping,82.1,89.7,93.2,94.4,91.5,84.5,66.1,42.9,24.4,13,7.3,4.9,3.8,4.6,4.7,4.6,3.9,3.1,2.8,3,5.3,14.3,35.8,63.9
nokids,Eating and drinking,0.7,0.5,0.3,0.3,0.6,1.6,4.4,7.5,8.3,7.3,5.4,6,18.7,11.9,6.4,4.3,4.5,9.9,16.1,14.2,9.5,4.8,2.4,1.2
nokids,Household activities,0.8,0.5,0.4,0.4,1,2,4.7,8.2,11.7,14.2,14.9,14.3,12.9,12.4,12.2,12.4,13.8,15.2,14,10.9,7.5,4.9,3.4,1.6
nokids,Shopping,0.2,0.1,0.1,0.1,0.1,0.2,0.5,1,2.2,4.6,6.8,7.7,8.2,8.4,8.3,7.9,7.3,6.6,5.3,4.1,2.8,1.9,0.8,0.4
nokids,Family care,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.3,0.3,0.3,0.2,0.2,0.1
nokids,Working,2.3,1.8,1.5,1.6,2.3,3.7,7.8,16.5,25.8,29.7,30.9,31.4,23.9,28.1,30.4,29.6,26.3,19.7,12.4,8.6,6.7,5.7,4.6,3.5
nokids,Education,0.4,0.2,0.1,0.1,0,0,0.1,0.4,1,1.7,2.1,2,1.6,1.7,1.7,1.8,1.5,1.2,1.2,1.4,1.3,1.1,0.9,0.5
nokids,Religious activities,0.1,0,0,0,0.1,0.2,0.3,0.5,0.7,1.1,1.7,2.2,1.4,0.6,0.4,0.3,0.3,0.5,0.6,1,1,0.6,0.2,0.1
nokids,Socializing,1.5,0.9,0.4,0.2,0,0.1,0.3,0.5,0.9,1.5,2.4,2.8,3.2,3.8,4.2,4.9,5.4,5.6,6,6.3,6.1,5,3.7,2.3
nokids,Watching television,5.4,2.7,1.4,0.9,0.9,1.4,2,3.3,4.6,5.6,7,7.8,8.1,9.8,11,12.2,14.1,16.2,20.6,28.2,36.8,38.7,28.9,14.7
nokids,Sports and recreation,0.2,0.1,0.1,0,0.1,0.3,1,1.4,1.6,1.7,2,2.1,1.7,1.7,1.6,1.6,1.6,1.8,1.8,1.9,1.5,1,0.5,0.3
nokids,Correspondence,0.4,0.2,0.1,0,0.1,0.1,0.3,0.4,0.7,1,1.1,1.2,1.1,1.1,1.2,1.5,1.5,1.3,1.5,1.9,2,2,1.5,0.7