Country,Year,Fertility
Algeria,1960,7.648
Algeria,1961,7.649
Algeria,1962,7.65
Algeria,1963,7.652
Algeria,1964,7.653
Algeria,1965,7.655
Algeria,1966,7.657
Algeria,1967,7.658
Algeria,1968,7.657
Algeria,1969,7.652
Algeria,1970,7.641
Algeria,1971,7.622
Algeria,1972,7.591
Algeria,1973,7.548
Algeria,1974,7.492
Algeria,1975,7.422
Algeria,1976,7.339
Algeria,1977,7.244
Algeria,1978,7.138
Algeria,1979,7.021
Algeria,1980,6.889
Algeria,1981,6.741
Algeria,1982,6.576
Algeria,1983,6.392
Algeria,1984,6.192
Algeria,1985,5.976
Algeria,1986,5.747
Algeria,1987,5.508
Algeria,1988,5.263
Algeria,1989,5.014
Algeria,1990,4.761
Algeria,1991,4.503
Algeria,1992,4.238
Algeria,1993,3.971
Algeria,1994,3.705
Algeria,1995,3.449
Algeria,1996,3.207
Algeria,1997,2.987
Algeria,1998,2.794
Algeria,1999,2.634
Algeria,2000,2.514
Algeria,2001,2.439
Algeria,2002,2.407
Algeria,2003,2.412
Algeria,2004,2.448
Algeria,2005,2.507
Algeria,2006,2.58
Algeria,2007,2.656
Algeria,2008,2.725
Algeria,2009,2.781
Algeria,2010,2.817
Algeria,2011,2.829
Algeria,2012,2.82
Algeria,2013,2.795