year,emissions
1961,2880505.507
1962,2987207.873
1963,3119230.874
1964,3255995.306
1965,3390922.571
1966,3561878.111
1967,3695708.943
1968,3831354.94
1969,4024748.853
1970,4328904.501
1971,4356770.034
1972,4564952.958
1973,4770194.948
1974,4598487.673
1975,4406329.539
1976,4613100.668
1977,4742292.745
1978,4889112.091
1979,4900373.448
1980,4721170.825
1981,4531792.277
1982,4300598.928
1983,4334925.715
1984,4470326.023
1985,4486460.823
1986,4491176.585
1987,4684431.152
1988,4888664.717
1989,4951084.391
1990,4768137.761
1991,4826703.418
1992,4922195.765
1993,5029767.21
1994,5121559.554
1995,5156168.7
1996,5286046.506
1997,5419440.965
1998,5456092.63
1999,5531691.502
2000,5713560.034
2001,5601404.839
2002,5650949.676
2003,5681664.468
2004,5790765.052
2005,5826393.624
2006,5737615.554
2007,5828696.5
2008,5656838.878
2009,5311840.184
2010,5433056.536