CountryName,Physical,Psychological,Male,Female,Urban,Rural
Afghanistan,69,62,75,74,78,74
Albania,61,71,81,73,70,82
Algeria,75,84,89,87,89,87
Armenia,43,66,72,67,70,70
Azerbaijan,51,74,80,74,76,78
Barbados,56,62,78,72,77,72
Belarus,34,59,67,62,66,62
Belize,57,54,71,70,70,71
Bosnia and Herzegovina,40,42,60,50,54,56
Burkina Faso,58,79,84,82,86,82
Cameroon,78,87,93,93,92,94
Central African Republic,81,84,92,92,92,92
Chad,77,71,85,84,83,85
Congo,69,80,87,86,85,90
Costa Rica,30,31,52,39,47,45
C_te d'Ivoire,73,88,91,91,92,90
Democratic Republic of the Congo,80,82,92,91,94,91
Djibouti,67,57,73,71,73,61
Dominican Republic,45,50,69,65,67,69
Egypt,82,83,92,90,90,92
Gambia,74,81,90,91,89,91
Georgia,50,59,70,63,68,66
Ghana,73,89,94,94,94,94
Guinea-Bissau,74,68,82,81,84,80
Guyana,63,66,79,74,74,77
Haiti,79,64,85,84,85,85
Iraq,63,75,81,77,78,80
Jamaica,68,72,87,82,83,87
Jordan,67,88,91,89,91,88
Kazakhstan,29,43,54,45,49,50
Kyrgyzstan,37,43,58,49,51,55
Lao People's Democratic Republic,44,71,77,74,74,76
Liberia,76,84,90,90,92,89
Mauritania,78,82,87,87,84,89
Mongolia,25,38,48,43,47,44
Montenegro,45,56,64,61,62,64
Morocco,67,89,92,90,90,92
Niger,66,77,82,81,83,82
Nigeria,79,81,91,90,91,91
Republic of Moldova,48,69,77,74,74,77
Saint Lucia,44,60,71,64,77,65
Serbia,37,60,70,64,67,68
Sierra Leone,65,74,81,82,83,81
State of Palestine,76,90,94,92,93,93
Suriname,60,82,87,85,85,88
Swaziland,66,82,90,88,90,89
Syrian Arab Republic,78,84,90,88,88,89
Tajikistan,60,73,80,75,77,78
The former Yugoslav Republic of Macedonia,52,56,71,67,67,72
Togo,77,86,94,93,90,95
Tunisia,74,90,94,92,93,94
Ukraine,30,57,68,55,59,65
Vanuatu,72,77,83,84,83,84
Viet Nam,55,55,76,71,69,76
Yemen,86,92,95,95,95,94